Media Sources,Negative,Neutral,Positive,Compound,Tweets Ago,Date,Text
BBC,0.463,0.537,0.0,-0.7845,87,Fri Jun 01 14:14:18 +0000 2018,Trump: Samantha Bee should be fired for Ivanka insult https://t.co/GUtKJpUPwM
BBC,0.0,1.0,0.0,0.0,88,Fri Jun 01 13:17:25 +0000 2018,"RT @bbcworldservice: After fleeing persecution in Eritrea, Pastor Daniel Habtey found himself delivering a baby on a sinking ship in the mi…"
BBC,0.0,1.0,0.0,0.0,89,Fri Jun 01 13:11:21 +0000 2018,"""That individual is now a household name. He is a celebrity."" 
Florida students reignite debate on whether media is… https://t.co/KtKu7hUYXI"
BBC,0.224,0.776,0.0,-0.3818,90,Fri Jun 01 13:07:14 +0000 2018,RT @BBCAfrica: Tramadol emboldens vigilantes to fight Boko Haram https://t.co/f3xiT3dvuU
BBC,0.271,0.729,0.0,-0.3818,91,Fri Jun 01 13:03:43 +0000 2018,Tramadol emboldens vigilantes to fight Boko Haram https://t.co/FPA4Mm8RYe
BBC,0.0,0.886,0.114,0.4019,92,Fri Jun 01 12:21:16 +0000 2018,"RT @BBCBreaking: Five big cats which escaped from a zoo in western Germany have been recaptured, reportedly with the help of a drone https:…"
BBC,0.527,0.473,0.0,-0.836,93,Fri Jun 01 11:33:31 +0000 2018,Nicaragua protests: 15 dead and scores injured in latest clashes https://t.co/zaTdCjXvQm
BBC,0.0,0.779,0.221,0.1779,94,Fri Jun 01 11:09:10 +0000 2018,"Lions, tigers, jaguar escape German zoo https://t.co/tx28w07bE3"
BBC,0.092,0.833,0.075,-0.1027,95,Fri Jun 01 11:04:59 +0000 2018,"RT @BBCBreaking: Two lions, two tigers and a jaguar escape from a German zoo, with public warned to stay indoors, police say https://t.co/q…"
BBC,0.218,0.782,0.0,-0.5994,96,Fri Jun 01 10:43:08 +0000 2018,"""Always try and express yourself"" 
Meet the Iranian librarian who escaped war through cosplay… https://t.co/w3Jzp3Qgem"
